id,x_centroid,y_centroid,sharpness,roundness1,roundness2,n_pixels,peak,flux,mag,daofind_mag
1,245.59330764192507,0.5546444256105765,0.8205427664644318,-0.069705784,-0.9364813751208344,25,318.59338,2248.8496,-8.379901,-3.054828315936396
2,332.2245081876122,0.4196666017038722,0.8246299005863758,-0.34104997,-0.9389365313116689,25,230.5385,1413.0685,-7.875408,-2.7802990447123803
3,386.8095989825525,0.4002274342815242,0.807328926576487,-0.6013167,-0.9287607301277501,25,7973.942,47713.695,-11.696608,-6.649093035735646
4,502.56719903702185,0.6620318409391571,0.7908529416479865,-0.7639842,-0.9362491744783508,25,90.15054,724.1041,-7.1495028,-1.6512628531005225
5,546.2646885729099,0.5412187409931355,0.7452862096223295,-0.2740347,-0.761684664675322,25,158.27988,1052.4343,-7.5554876,-2.4332413776922284
6,727.2653913990679,0.48028343316842814,0.7959980805541511,-0.38917583,-0.8392900699898281,25,43.061047,268.11847,-6.070817,-0.9845308682297348
7,909.8222873763399,0.6265285748249634,0.7636899082349891,-0.44934624,-0.7687022366907537,25,25.043919,181.08409,-5.6447005,-0.3607837400147484
8,1120.946719604467,0.6884540507752873,0.6887377759282728,-0.23711115,-0.5841031726513066,25,54.117817,396.1758,-6.49472,-1.2977981284753095
9,13.817523170688569,1.0916558783772294,0.327790852752687,-0.09231428,-0.9835139126589137,25,104.147995,1491.5967,-7.9341288,-1.908262606547173
10,40.056051281331676,0.6218115505150923,0.3066307340299868,-0.2595158,-0.5931962449428668,25,397.68964,4702.122,-9.180735,-3.7022910891972414
11,88.17115871044903,0.6866075105403335,0.25285539195031553,-0.075004265,-0.9313865761390789,25,64.78436,1020.2436,-7.52176,-1.4000098763475561
12,125.8470857887497,0.5896791998371473,0.314858214435461,-0.28294244,-0.778184793882212,25,92.7387,1173.6001,-7.6738005,-2.0069150049704216
13,157.4884488569772,0.5849961242727014,0.3184539610464981,0.045827765,-0.6231422418088687,25,1821.8927,21106.889,-10.811061,-5.329263466092083
14,167.2687842506632,0.8181164979559903,0.27577997374438024,0.1229473,-0.6064143965526753,25,186.07564,2525.38,-8.505817,-2.744164184005559
15,179.79323871791647,0.8209339366546619,0.3496998737344351,-0.06554146,-0.5155829343208892,25,957.2828,10772.31,-10.080772,-4.616410805756037
16,260.6538831247348,0.5652525264345323,0.25540005569744145,-0.10118352,-0.5699903296467181,25,51.52576,644.8887,-7.0237117,-1.5187467316440761
17,276.7885089078696,1.138847405888055,0.4750677286585119,-0.2294046,-0.5797830279834668,25,70.68632,771.20917,-7.217931,-1.589568904406321
18,295.5840958067349,1.4474917081105594,0.4317175384541098,0.25502148,-0.4894664569144327,25,244.0231,3156.5037,-8.748015,-2.7821036989921515
19,365.0910456266781,0.7231490542419345,0.3634793189414628,-0.3832784,-0.6020571726875255,25,222.98915,2481.8315,-8.486931,-3.015606455110347
20,407.73821152821836,1.4058704839896818,0.47068015991452755,-0.1833007,-0.23419659611818042,25,249.44228,2606.567,-8.540172,-3.0103510499167774
21,421.2659453651228,1.1053975804135965,0.4526039537938798,-0.20652924,-0.3385250468711319,25,233.33073,2280.4167,-8.395035,-3.031924924718165
22,617.4002157178318,1.4060022789919873,0.3283786239287044,-0.118703894,-0.02579520478016599,25,140.71278,1816.4686,-8.14807,-2.388446819726983
23,796.4070089818229,0.750512687315722,0.40299791931896745,-0.66093075,-0.46460309736301975,25,235.91118,2310.7393,-8.409377,-3.125707317542589
24,868.2383545147279,1.1807917108988104,0.3471232516704976,0.096156605,-0.4608970296541472,25,23.21931,272.603,-6.0888267,-0.5575615042900286
25,784.7453657107891,1.916122982725627,0.46720166012769354,-0.17362541,-0.08411506724313718,25,69.10131,831.94116,-7.3002315,-1.488718915686792
26,852.7190566054907,1.666622972001574,0.44359766269876555,0.100027844,0.12755804394652254,25,36.06438,461.0877,-6.659459,-0.8215810612179912
27,118.30758050764432,3.4938796855595666,0.4585040986620199,0.37002835,0.050229009785237345,25,64.460396,974.1437,-7.4715576,-1.184237513803964
28,317.4963321433713,2.777777978239932,0.47980501959172206,0.3435511,-0.03963639608728356,25,205.3911,2564.5662,-8.522535,-2.6013692675417213
29,644.4290780352329,2.663601489967905,0.4616194116861244,-0.21061869,-0.04128382952483733,25,46.60308,593.56396,-6.933669,-1.0174374119999121
30,840.3081102561297,3.3325639346250275,0.45724855253342617,-0.46824113,-0.14001713838340418,25,224.0243,2632.579,-8.550954,-2.8295781323876024
31,1797.7608311756217,2.921864273721309,0.46126011717162085,0.21962039,-0.12934116099553047,25,32.310097,355.09567,-6.3758636,-0.802088913868766
32,66.83293394467655,3.981771927668252,0.4930966248952926,0.48595962,-0.06690018883712615,25,147.7086,2159.5767,-8.335922,-2.047307554174088
33,77.49049656291562,4.169353262172894,0.45454899436930996,0.2801986,-0.0975181263932481,25,291.58636,3818.5916,-8.954758,-2.9810180595743043
34,139.09552340654218,4.049184925467674,0.5145928147639188,0.24347763,-0.0882261694201911,25,3337.6013,36962.676,-11.419409,-5.714955767133092
